Language,Popularity,2020[%],2021[%],2022[%],Year,Value[%]
TypeScript,Always,0,4,6,2022,6
TypeScript,Frequently,0,10,13,2022,13
TypeScript,Sometimes,0,17,17,2022,17
TypeScript,Rarely,0,12,14,2022,14
TypeScript,Never,0,57,50,2022,50
SQL,Always,0,15,16,2022,16
SQL,Frequently,0,20,26,2022,26
SQL,Sometimes,0,27,29,2022,29
SQL,Rarely,0,16,16,2022,16
SQL,Never,0,22,13,2022,13
Rust,Always,0,3,2,2022,2
Rust,Frequently,0,8,12,2022,12
Rust,Sometimes,0,14,16,2022,16
Rust,Rarely,0,12,14,2022,14
Rust,Never,0,63,56,2022,56
R,Always,10,10,7,2022,7
R,Frequently,17,17,19,2022,19
R,Sometimes,20,25,28,2022,28
R,Rarely,20,18,23,2022,23
R,Never,34,30,24,2022,24
Python,Always,47,34,31,2022,31
Python,Frequently,28,29,27,2022,27
Python,Sometimes,16,22,22,2022,22
Python,Rarely,6,11,14,2022,14
Python,Never,4,4,6,2022,6
PHP,Always,0,3,5,2022,5
PHP,Frequently,0,11,13,2022,13
PHP,Sometimes,0,18,20,2022,20
PHP,Rarely,0,16,17,2022,17
PHP,Never,0,52,45,2022,45
Julia,Always,0,3,3,2022,3
Julia,Frequently,0,8,12,2022,12
Julia,Sometimes,0,16,17,2022,17
Julia,Rarely,0,13,17,2022,17
Julia,Never,0,61,51,2022,51
JavaScript,Always,3,8,6,2022,6
JavaScript,Frequently,12,16,20,2022,20
JavaScript,Sometimes,20,24,26,2022,26
JavaScript,Rarely,23,19,19,2022,19
JavaScript,Never,42,33,28,2022,28
Java,Always,3,6,7,2022,7
Java,Frequently,7,15,18,2022,18
Java,Sometimes,13,22,21,2022,21
Java,Rarely,22,19,21,2022,21
Java,Never,55,38,33,2022,33
HTML/CSS,Always,0,7,8,2022,8
HTML/CSS,Frequently,0,17,18,2022,18
HTML/CSS,Sometimes,0,28,31,2022,31
HTML/CSS,Rarely,0,21,22,2022,22
HTML/CSS,Never,0,27,20,2022,20
Go,Always,0,2,3,2022,3
Go,Frequently,0,9,12,2022,12
Go,Sometimes,0,14,18,2022,18
Go,Rarely,0,13,14,2022,14
Go,Never,0,62,53,2022,53
C#,Always,1,4,5,2022,5
C#,Frequently,3,10,14,2022,14
C#,Sometimes,8,19,19,2022,19
C#,Rarely,18,18,19,2022,19
C#,Never,70,49,42,2022,42
C/C++,Always,2,5,8,2022,8
C/C++,Frequently,7,13,18,2022,18
C/C++,Sometimes,14,23,23,2022,23
C/C++,Rarely,26,25,22,2022,22
C/C++,Never,50,34,30,2022,30
Bash/Shell,Always,0,6,9,2022,9
Bash/Shell,Frequently,0,13,22,2022,22
Bash/Shell,Sometimes,0,22,24,2022,24
Bash/Shell,Rarely,0,19,19,2022,19
Bash/Shell,Never,0,40,26,2022,26
R,Always,0,0,0,2021,10
R,Frequently,0,0,0,2021,17
R,Sometimes,0,0,0,2021,25
R,Rarely,0,0,0,2021,18
R,Never,0,0,0,2021,30
Python,Always,0,0,0,2021,34
Python,Frequently,0,0,0,2021,29
Python,Sometimes,0,0,0,2021,22
Python,Rarely,0,0,0,2021,11
Python,Never,0,0,0,2021,4
JavaScript,Always,0,0,0,2021,8
JavaScript,Frequently,0,0,0,2021,16
JavaScript,Sometimes,0,0,0,2021,24
JavaScript,Rarely,0,0,0,2021,19
JavaScript,Never,0,0,0,2021,33
Java,Always,0,0,0,2021,6
Java,Frequently,0,0,0,2021,15
Java,Sometimes,0,0,0,2021,22
Java,Rarely,0,0,0,2021,19
Java,Never,0,0,0,2021,38
C#,Always,0,0,0,2021,4
C#,Frequently,0,0,0,2021,10
C#,Sometimes,0,0,0,2021,19
C#,Rarely,0,0,0,2021,18
C#,Never,0,0,0,2021,49
C/C++,Always,0,0,0,2021,5
C/C++,Frequently,0,0,0,2021,13
C/C++,Sometimes,0,0,0,2021,23
C/C++,Rarely,0,0,0,2021,25
C/C++,Never,0,0,0,2021,34
R,Always,0,0,0,2020,10
R,Frequently,0,0,0,2020,17
R,Sometimes,0,0,0,2020,20
R,Rarely,0,0,0,2020,20
R,Never,0,0,0,2020,34
Python,Always,0,0,0,2020,47
Python,Frequently,0,0,0,2020,28
Python,Sometimes,0,0,0,2020,16
Python,Rarely,0,0,0,2020,6
Python,Never,0,0,0,2020,4
JavaScript,Always,0,0,0,2020,3
JavaScript,Frequently,0,0,0,2020,12
JavaScript,Sometimes,0,0,0,2020,20
JavaScript,Rarely,0,0,0,2020,23
JavaScript,Never,0,0,0,2020,42
Java,Always,0,0,0,2020,3
Java,Frequently,0,0,0,2020,7
Java,Sometimes,0,0,0,2020,13
Java,Rarely,0,0,0,2020,22
Java,Never,0,0,0,2020,55
C#,Always,0,0,0,2020,1
C#,Frequently,0,0,0,2020,3
C#,Sometimes,0,0,0,2020,8
C#,Rarely,0,0,0,2020,18
C#,Never,0,0,0,2020,70
C/C++,Always,0,0,0,2020,2
C/C++,Frequently,0,0,0,2020,7
C/C++,Sometimes,0,0,0,2020,14
C/C++,Rarely,0,0,0,2020,26
C/C++,Never,0,0,0,2020,50